filename,pixel size(mm),head circumference (mm),center_x_mm,center_y_mm,semi_axes_a_mm,semi_axes_b_mm,angle_rad,hc_calc_mm
000_HC.png,0.0691358041432,44.3,28.307403722,26.11848901,7.662542307,6.41256816,5.127114135,44.31
001_HC.png,0.0896585200514,56.81,36.098779421,19.872299444,10.135050492,7.882444133,6.126803955,56.83
002_HC.png,0.062032562715,68.75,17.613180521,11.915908575,11.902281686,9.937383982,1.145924928,68.75
003_HC.png,0.0912911675193,69.0,37.963055069,32.654894919,11.900712475,10.025145356,0.020328241,69.01
004_HC.png,0.0612398400539,59.81,20.719135965,17.925289726,10.489433055,8.497885162,0.726153881,59.81
005_HC.png,0.115813952546,69.8,37.374218907,27.475908615,12.046295868,10.131877237,5.798468118,69.8
006_HC.png,0.0656056482541,67.84,28.223076176,16.13991195,11.706534389,9.847877702,1.382667698,67.84
007_HC.png,0.109361850697,62.8,48.847074026,40.54814725,10.782968176,9.177769379,5.705669737,62.81
008_HC.png,0.0776550861505,62.1,29.27694267,25.97221611,10.868296522,8.847854816,0.302435165,62.1
009_HC.png,0.121525358863,62.31,52.432434655,26.401336928,10.848368574,8.944106291,0.908661642,62.32
010_2HC.png,0.0799272457759,72.87,27.97259321,20.528684255,12.471677981,10.69015814,4.831527976,72.87
010_HC.png,0.0799351646787,71.91,27.912182238,20.016591714,12.36022183,10.493321155,1.561719475,71.92
011_HC.png,0.0554841260115,69.90,23.53454839,15.808777522,11.983614114,10.233203216,5.186887954,69.9
012_HC.png,0.0834604501724,59.4,33.970876368,18.071545994,10.111754848,8.774732088,5.77261668,59.41
013_HC.png,0.0619183278378,65.7,25.730154708,16.611506549,11.604026653,9.243140032,0.829956311,65.7
014_2HC.png,0.0789818540215,62.92,33.946563797,20.55618447,10.539565968,9.476130427,0.750010611,62.93
014_3HC.png,0.0773076919409,60.26,34.400982755,19.362209011,10.513607231,8.624165469,0.231823912,60.27
014_HC.png,0.0789062492549,63.34,32.705976905,20.118996168,10.617743904,9.532940402,1.151226083,63.35
015_HC.png,0.0604155767395,69.3,28.154033961,17.65295842,12.285332283,9.696620786,5.20739248,69.3
016_HC.png,0.0603058395616,65.05,25.141285139,17.699184189,11.482031342,9.159706703,5.820301045,65.05
017_2HC.png,0.0910227298737,79.61,37.121350089,20.10706353,13.890352469,11.389004838,5.119518051,79.61
017_HC.png,0.0910701968453,79.32,38.730715349,23.612133016,14.148402504,11.004344171,0.883670672,79.33
018_HC.png,0.0659655269824,71.59,25.058846814,16.20851791,13.292636482,9.318708706,6.206585271,71.59
019_2HC.png,0.117779842445,75.75,46.294573339,34.578478505,13.134904232,10.9306949,5.309829923,75.76
019_HC.png,0.118045111497,75.38,54.552342858,34.619936929,12.870345786,11.091629794,5.223838398,75.38
020_HC.png,0.054483698762,68.41,21.181622812,17.238469034,12.505679059,9.138098303,0.304961972,68.41
021_HC.png,0.0611258425364,69.49,24.680055124,15.660121686,12.312422252,9.732337803,6.141961869,69.49
022_2HC.png,0.09434756243,64.45,38.256109675,29.759552814,11.517050106,8.914801998,1.539380214,64.45
022_HC.png,0.04941494158,65.80,16.916915257,16.514738738,11.89896238,8.941004682,0.090761662,65.8
023_2HC.png,0.119170163359,67.9,57.694850066,36.884898488,11.304111272,10.299370379,5.440232604,67.91
023_HC.png,0.1035863099,70.0,58.321441248,31.375891164,12.240801954,9.988426027,0.209713017,70.01
024_HC.png,0.105222798884,73.2,42.182260419,26.517092607,12.507848441,10.76504847,1.179003386,73.22
025_HC.png,0.0744776138619,70.51,39.321404937,23.723038323,12.219632999,10.178225763,0.991081818,70.51
026_2HC.png,0.113034092567,67.3,30.912735629,25.549796921,11.113797826,10.302517859,1.526091306,67.31
026_HC.png,0.11327272789,75.2,35.108121166,27.523391509,13.256981717,10.604114328,4.978229332,75.19
027_HC.png,0.0892992424113,65.75,34.800460897,34.527204071,11.260514083,9.637597164,0.481745335,65.75
028_HC.png,0.0942857141765,70.0,50.354803757,29.610979842,12.38931419,9.818508867,4.931397869,70.0
029_HC.png,0.0618481636047,66.3,18.70995282,19.922012995,11.455451821,9.6097292,1.235233236,66.31
030_HC.png,0.0542289407357,64.3,18.190207649,11.361923361,11.047707294,9.386245119,5.760470435,64.3
031_HC.png,0.0729396464168,67.1,30.485796119,26.274337329,11.551426962,9.77079352,5.139831029,67.1
032_2HC.png,0.0983554709191,62.48,37.929288976,34.069381527,11.00917627,8.818534249,4.866855811,62.48
032_HC.png,0.0980844684676,65.37,42.049872458,32.211015175,11.047917927,9.7425441,5.078397362,65.38
033_2HC.png,0.0970505105639,78.84,41.597978916,25.418930511,13.773340161,11.260290819,5.545500637,78.84
033_HC.png,0.0971650498585,75.90,32.380945249,23.384902147,13.302624182,10.793699196,6.053876285,75.91
034_HC.png,0.0908181829886,73.07,31.459648072,22.415777849,12.562393705,10.656748341,4.855352012,73.07
035_HC.png,0.0877558453041,72.09,41.44461814,25.115859241,12.748234443,10.123403562,1.242914458,72.09
036_HC.png,0.0856360690347,73.96,27.278149592,22.754972015,12.953087886,10.525181976,5.824479711,73.96
037_HC.png,0.092240974859,78.5,32.919228388,20.804337793,13.704449915,11.221940575,5.117067943,78.5
038_HC.png,0.0606736792139,71.90,22.394710917,14.089016479,12.497873868,10.339525492,0.276908566,71.91
039_HC.png,0.0655010813161,72.8,30.18224282,16.421382247,12.836562817,10.267058122,5.688047999,72.81
040_HC.png,0.0794686022259,68.7,31.491742412,13.926750068,12.132431341,9.665464238,5.365646417,68.7
041_HC.png,0.0854555125964,79.8,25.966643808,26.791431114,13.757537556,11.597569152,0.961343363,79.8
042_HC.png,0.0540399359119,69.84,20.472405015,14.297528473,11.766439489,10.445049428,5.801103615,69.84
043_HC.png,0.061754849222,69.94,23.143642723,19.204860092,11.811535545,10.432037978,0.693354389,69.95
044_HC.png,0.113636363636,69.49,55.477593162,45.777766488,12.235768058,9.823541641,6.026269824,69.51
045_HC.png,0.0550714298919,72.99,21.241039417,15.809484352,12.757996808,10.415461908,5.481978153,72.99
046_HC.png,0.0748933873959,70.13,28.739836874,16.83384243,12.113019761,10.169890278,0.870359261,70.14
047_HC.png,0.0894523837737,75.23,36.267604724,29.069881778,12.970208006,10.936736291,5.467855244,75.24
048_HC.png,0.0727281622265,73.8,23.253467107,18.726683892,13.139958404,10.265025337,0.131315946,73.81
049_HC.png,0.110113426395,69.7,49.227224125,18.059138752,11.610255356,10.565407709,4.764276255,69.71
050_2HC.png,0.05918349238,67.19,19.936067235,14.688759697,11.28707884,10.083325654,0.847551949,67.19
050_HC.png,0.0591132570716,67.50,21.159032754,14.856429439,11.555317626,9.898468263,0.66486256,67.5
051_HC.png,0.061876192505,71.96,24.901168039,15.537682586,12.179059455,10.702576861,1.287904171,71.96
052_HC.png,0.0875243649148,71.91,26.7277516,32.593182171,13.01105322,9.764766165,6.183689875,71.92
053_HC.png,0.107659570714,75.88,47.713992029,29.838536038,13.355720809,10.725987207,5.672267039,75.88
054_HC.png,0.0561797752809,73.03,24.8706329,15.466280305,12.740702254,10.450919076,0.052470532,73.04
055_HC.png,0.0736317915075,79.00,36.525336903,21.529951117,13.667121567,11.430618818,4.974531758,79.0
056_HC.png,0.0644139219553,69.86,26.297514393,21.105976969,12.061580111,10.132186277,5.914125775,69.86
057_HC.png,0.0522291660309,74.61,22.898361084,14.65682725,13.59450055,10.01985501,0.079726854,74.61
058_HC.png,0.0770680079093,69.64,27.017332269,20.802288279,11.590423473,10.565579252,5.52948209,69.64
059_HC.png,0.0775708510326,76.2,31.538161385,19.216513558,13.301269813,10.893385304,0.372189812,76.2
060_HC.png,0.0985959815044,80.70,32.380864985,32.777492054,13.42081682,12.257058599,1.117056261,80.71
061_2HC.png,0.0630662901492,75.23,26.688021712,18.126294554,12.855876462,11.057888151,0.517498872,75.23
061_HC.png,0.0828286409378,70.11,30.499196392,13.893277305,11.808442016,10.491079756,0.168058248,70.12
062_HC.png,0.0739313749706,74.6,25.209421125,19.9988171,13.067839817,10.615129563,4.965412753,74.6
063_2HC.png,0.114488642324,72.96,37.468256482,33.752726539,12.898252867,10.252250818,0.38979071,72.97
063_3HC.png,0.088256576605,80.3,32.538389576,23.075311934,13.826524078,11.688544332,6.051882176,80.3
063_HC.png,0.114393938671,69.76,62.202730514,33.128747164,12.463948894,9.65266758,6.010564564,69.76
064_2HC.png,0.0696330600315,80.85,31.262961669,20.924979981,13.534162626,12.184953024,5.311429983,80.85
064_HC.png,0.0698593093289,77.75,24.087883412,21.575483149,13.212993586,11.507779822,5.261884917,77.76
065_HC.png,0.0850996122522,76.3,22.560879018,22.817980197,13.519123127,10.689363645,5.497328414,76.31
066_2HC.png,0.0686876414573,81.44,26.465932249,18.944856657,14.521427991,11.302227227,5.74547757,81.44
066_HC.png,0.0686532667238,77.18,23.495694296,19.129030796,13.471108987,11.03368703,5.821734725,77.17
067_HC.png,0.101268613825,74.31,48.148044696,29.894775725,12.946001132,10.652232493,4.757943067,74.31
068_2HC.png,0.0606325304652,84.96,20.535119342,17.154326566,14.705010939,12.284295833,5.608934072,84.96
068_HC.png,0.0606386991869,83.37,27.722891652,15.761070865,14.445418539,12.036225699,5.491482709,83.37
069_HC.png,0.0641114665912,72.00,18.777738498,16.218884305,12.46408214,10.409982485,1.132520572,72.01
070_HC.png,0.0955619017283,72.51,49.971303843,31.217963047,12.498763584,10.543030559,5.00699079,72.52
071_HC.png,0.127615386095,72.7,61.988443575,44.734127174,12.317155259,10.802922059,1.076297247,72.71
072_HC.png,0.0684661122218,76.41,21.920463852,20.138044483,13.091638226,11.195560681,1.46534833,76.42
073_HC.png,0.0624107159674,76.29,24.227610241,17.879599726,13.335722774,10.884791315,6.120918636,76.29
074_HC.png,0.0682768552271,75.8,28.722506927,15.526994608,13.091105593,10.992845086,0.783595736,75.81
075_HC.png,0.0945530072698,84.64,37.936396103,27.222254587,14.71204237,12.170630926,0.65175295,84.64
076_HC.png,0.0914384343407,79.35,36.766838306,18.891761513,13.836479204,11.360673649,5.87121972,79.35
077_HC.png,0.0921539962292,75.95,44.335621408,30.363367941,13.284334769,10.829720428,1.514525331,75.95
078_HC.png,0.0627323687077,78.08,29.317198507,17.809209852,13.672532012,11.115310695,5.137748437,78.08
079_HC.png,0.0957786119901,82.28,39.924921858,22.315490755,14.370792561,11.756442449,0.033949578,82.29
080_HC.png,0.054731880841,75.9,22.975002289,12.065826278,13.101887854,11.013844803,6.130069657,75.9
081_HC.png,0.0832638889551,71.91,42.096910331,23.817798314,12.08940822,10.783833592,5.687647227,71.92
082_2HC.png,0.117036644803,65.71,41.777665819,46.823640684,11.234985722,9.656963028,6.221578269,65.73
082_HC.png,0.117190452509,73.98,42.211855793,44.45287464,12.67422451,10.840651524,0.022710506,73.99
083_2HC.png,0.0611488339378,88.17,21.617492789,16.772827691,15.17287306,12.846636068,0.895794446,88.18
083_HC.png,0.0610871503993,82.58,25.361771167,15.132159428,14.441139003,11.775835492,0.886007729,82.58
084_HC.png,0.0733919047257,76.63,33.405653156,16.156286125,12.727235388,11.653141906,0.925066715,76.63
085_HC.png,0.108953805073,79.47,60.542295828,20.32781728,13.678421967,11.579340113,5.161657315,79.49
086_HC.png,0.104864041011,75.75,30.264102097,36.412377339,13.379117379,10.65700258,5.73959731,75.75
087_HC.png,0.0651652162725,79.09,24.431285368,15.666696524,13.662866124,11.462633234,6.263119853,79.09
088_2HC.png,0.117527537568,95.71,41.511721207,38.983684793,16.137169691,14.301526421,1.557404355,95.71
088_HC.png,0.0779224559665,80.72,32.650480465,17.116727568,13.942822613,11.701826712,0.82086854,80.72
089_HC.png,0.0775763988495,73.7,29.134503383,27.694529359,12.573000476,10.856703145,6.049913768,73.71
090_HC.png,0.0634707529334,74.13,23.560531182,13.869154159,12.676672789,10.884957141,1.052530798,74.13
091_HC.png,0.0574788279917,76.1,28.4095352,15.845702363,13.342793043,10.815804991,0.633896189,76.1
092_HC.png,0.0753690753922,77.56,31.637766803,17.728354832,14.030741852,10.533911625,0.053407099,77.56
093_2HC.png,0.0623848699033,76.16,28.1903925,13.927697786,12.762210369,11.464293608,5.491933516,76.16
093_HC.png,0.0670341889064,79.04,25.461720884,20.713876345,14.063505559,11.003124187,0.011370699,79.04
094_HC.png,0.130954792625,77.59,67.756720268,48.382832317,13.334469361,11.325219184,1.5357699,77.6
095_HC.png,0.0643689662982,77.7,20.768258617,13.824642012,13.369267622,11.322991875,0.406778881,77.71
096_HC.png,0.128153845286,75.64,53.194444455,34.512270908,13.731652942,10.219354489,6.023437019,75.65
097_HC.png,0.0689726006495,72.65,27.398940423,17.947741861,13.106709035,9.909691757,0.852228593,72.66
098_HC.png,0.0788046885282,78.5,31.712795449,19.716921406,13.451236809,11.502025637,6.271105874,78.51
099_HC.png,0.0897261926106,75.3,39.228280183,28.811341126,12.506613561,11.452800746,1.425846461,75.31
